qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714
2,18,9,2,4,2,1:26.103,1:25.315,1:26.869
3,18,5,1,23,3,1:25.664,1:25.452,1:27.079
4,18,13,6,2,4,1:25.994,1:25.691,1:27.178
5,18,2,2,3,5,1:25.960,1:25.518,1:27.236
6,18,15,7,11,6,1:26.427,1:26.101,1:28.527
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687
8,18,14,9,9,8,1:26.381,1:26.063,1:29.041
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593
10,18,20,5,15,10,1:26.702,1:25.842,\N
11,18,22,11,17,11,1:26.369,1:26.173,\N
12,18,4,4,5,12,1:26.907,1:26.188,\N
13,18,18,11,16,13,1:26.712,1:26.259,\N
14,18,6,3,8,14,1:26.891,1:26.413,\N
15,18,17,9,10,15,1:26.914,\N,\N
16,18,8,6,1,16,1:26.140,\N,\N
17,18,21,10,21,17,1:27.207,\N,\N
18,18,7,5,14,18,1:27.446,\N,\N
19,18,16,10,20,19,1:27.859,\N,\N
20,18,11,8,18,20,1:28.208,\N,\N
21,18,12,4,6,21,1:28.330,\N,\N
22,18,19,8,19,22,1:29.059,\N,\N
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748
24,19,8,6,1,2,1:35.645,1:34.188,1:36.230
25,19,5,1,23,3,1:35.227,1:34.759,1:36.613
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709
27,19,15,7,11,5,1:35.205,1:34.960,1:36.711
28,19,9,2,4,6,1:35.794,1:34.811,1:36.727
29,19,2,2,3,7,1:35.729,1:34.648,1:36.753
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450
32,19,10,7,12,10,1:35.891,1:35.000,1:39.656
33,19,18,11,16,11,1:35.847,1:35.208,\N
34,19,14,9,9,12,1:36.058,1:35.408,\N
35,19,12,4,6,13,1:36.074,1:35.562,\N
36,19,22,11,17,14,1:36.198,1:35.622,\N
37,19,20,5,15,15,1:36.111,1:35.648,\N
38,19,3,3,7,16,1:35.843,1:35.670,\N
39,19,21,10,21,17,1:36.240,\N,\N
40,19,6,3,8,18,1:36.388,\N,\N
41,19,7,5,14,19,1:36.677,\N,\N
42,19,11,8,18,20,1:37.087,\N,\N
